Name,Type,RA,Dec,Const,MajAx,MinAx,V-Mag,M,NGC,IC,Common names,Name catalog,Name number (with zeros),Name normalized,IC name,M name,Name number,Catalog,Name_MIKE,Name (no leading zero),Name (final),NGC/ID,Type_MIKE,Common Name,Mag,RA_MIKE,Dec_MIKE,Width ('),Height ('),IC_MIKE,IC name_MIKE,NGC_MIKE,NGC name,mike,Notes
NGC2239,Cl+N,06:31:55.56,+04:56:34.6,Mon,9.3,,4.8,,2244,,,NGC,2239,NGC 2239,,,2239,Caldwell,C 050,C 50,C 50,2239,Oc,,4.8,06:32:24,4.87,24.0,24.0,,,2239,NGC 2239,True,large_dso
NGC2252,OCl,06:34:42.97,+05:21:58.5,Mon,6.6,,7.7,,,,,NGC,2252,NGC 2252,,,2252,NGC,NGC 2252,NGC 2252,NGC 2252,2252,OC,,8,06:35:00,5.38,20.0,20.0,,,2252,NGC 2252,True,large_dso
NGC2264,Cl+N,06:40:58.25,+09:53:43.7,Mon,11.4,,3.9,,,,Christmas Tree Cluster,NGC,2264,NGC 2264,,,2264,NGC,NGC 2264,NGC 2264,NGC 2264,2264,C+N,Christmas Tree cluster,3,06:41:06,9.88,60.0,60.0,,,2264,NGC 2264,True,large_dso
NGC2287,OCl,06:45:59.94,-20:45:15.2,CMa,12.0,,4.5,41,,,,M,2287,M 41,,,41,Messier,M 041,M 41,M 41,2287,Oc,,4.6,06:07:00,-20.73,38.0,38.0,,,2287,NGC 2287,True,large_dso
NGC2331,OCl,07:06:59.83,+27:15:41.7,Gem,4.8,,8.5,,,,,NGC,2331,NGC 2331,,,2331,NGC,NGC 2331,NGC 2331,NGC 2331,2331,OC,,9,07:07:12,27.35,18.0,18.0,,,2331,NGC 2331,True,large_dso
NGC2353,OCl,07:14:30.31,-10:15:57.1,Mon,6.6,,7.1,,,,,NGC,2353,NGC 2353,,,2353,NGC,NGC 2353,NGC 2353,NGC 2353,2353,OC,,7,07:14:36,-9.7,20.0,20.0,,,2353,NGC 2353,True,large_dso
NGC2354,OCl,07:14:05.27,-25:41:20.1,CMa,4.8,,6.5,,,,,NGC,2354,NGC 2354,,,2354,NGC,NGC 2354,NGC 2354,NGC 2354,2354,OC,,6,07:14:18,-24.27,20.0,20.0,,,2354,NGC 2354,True,large_dso
NGC2374,OCl,07:23:56.07,-13:15:48.1,CMa,9.0,,8.0,,,,,NGC,2374,NGC 2374,,,2374,NGC,NGC 2374,NGC 2374,NGC 2374,2374,OC,,8,07:24:00,-12.73,19.0,19.0,,,2374,NGC 2374,True,large_dso
NGC2403,G,07:36:51.40,+65:36:09.2,Cam,19.95,10.07,8.43,,,,,NGC,2403,NGC 2403,,,2403,Caldwell,C 007,C 7,C 7,2403,Sp,,8.9,07:36:54,65.6,18.0,10.0,,,2403,NGC 2403,True,large_dso
NGC2422,OCl,07:36:35.02,-14:28:57.4,Pup,19.8,,4.4,47,2478,,,M,2422,M 47,,,47,Messier,M 047,M 47,M 47,2422,Oc,,5.2,07:06:36,-14.5,30.0,30.0,,,2422,NGC 2422,True,large_dso
